Date,RACE_GROUP,CONFIRMED_DEATH,PROBABLE_DEATH
2020-11-15,Hispanic/Latino,6004,1265
2020-11-15,Black/African-American,5371,1438
2020-11-15,White,4954,1207
2020-11-15,Asian/Pacific-Islander,1452,415
2020-11-15,Other/Unknown,1675,334
2020-11-15,Data pending,0,9
2020-11-15,Totals,19456,4668
2020-11-14,Hispanic/Latino,6001,1265
2020-11-14,Black/African-American,5366,1438
2020-11-14,White,4951,1207
2020-11-14,Asian/Pacific-Islander,1452,415
2020-11-14,Other/Unknown,1675,335
2020-11-14,Data pending,0,13
2020-11-14,Totals,19445,4673
2020-11-13,Hispanic/Latino,5998,1267
2020-11-13,Black/African-American,5365,1437
2020-11-13,White,4949,1206
2020-11-13,Asian/Pacific-Islander,1449,416
2020-11-13,Other/Unknown,1670,335
2020-11-13,Data pending,0,16
2020-11-13,Totals,19431,4677
2020-11-12,Hispanic/Latino,5995,1266
2020-11-12,Black/African-American,5364,1437
2020-11-12,White,4947,1205
2020-11-12,Asian/Pacific-Islander,1448,415
2020-11-12,Other/Unknown,1675,334
2020-11-12,Data pending,0,13
2020-11-12,Totals,19429,4670
2020-11-11,Hispanic/Latino,5994,1265
2020-11-11,Black/African-American,5364,1436
2020-11-11,White,4946,1205
2020-11-11,Asian/Pacific-Islander,1448,415
2020-11-11,Other/Unknown,1675,334
2020-11-11,Data pending,0,14
2020-11-11,Totals,19427,4669
2020-11-10,Hispanic/Latino,5993,1263
2020-11-10,Black/African-American,5363,1436
2020-11-10,White,4945,1205
2020-11-10,Asian/Pacific-Islander,1444,414
2020-11-10,Other/Unknown,1674,334
2020-11-10,Data pending,0,16
2020-11-10,Totals,19419,4668
2020-11-09,Hispanic/Latino,5994,1263
2020-11-09,Black/African-American,5365,1436
2020-11-09,White,4942,1203
2020-11-09,Asian/Pacific-Islander,1442,414
2020-11-09,Other/Unknown,1673,334
2020-11-09,Data pending,0,19
2020-11-09,Totals,19416,4669
2020-11-09,Hispanic/Latino,5994,1263
2020-11-09,Black/African-American,5365,1436
2020-11-09,White,4942,1203
2020-11-09,Asian/Pacific-Islander,1442,414
2020-11-09,Other/Unknown,1672,334
2020-11-09,Data pending,0,19
2020-11-09,Totals,19415,4669
